Date,Company,Method,in-house,copy-paste?,got basic detail wrong,wrong tech stack,Bullshit Level,dafuq,Name
"May 12, 2021",Bank of America,LinkedIn (DM),No,Yes,No,No,Moderate,"I hope you and your loved ones are safe, healthy and prospering.",
"May 6, 2021",Northwestern Mutual,LinkedIn (DM),No,Yes,No,No,Low,,
"May 6, 2021",HIMSS,LinkedIn (DM),No,Yes,No,No,None,,
"May 5, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,Low,,
"May 4, 2021",Amazon,Email,No,Yes,Yes,No,High,I know you are with a great organization (I'm not working atm),
"May 3, 2021",<Our client>,Phone,No,No,No,No,High,(mentioned something from my site),
"April 28, 2021",IndigoAg,LinkedIn (DM),Yes,Yes,No,Yes,High,Indigo was #3 on CNBC’s 2020 Top Disruptor List,
"April 28, 2021",FastRadius,LinkedIn (DM),Yes,Yes,No,No,High,,
"April 27, 2021",<Our client>,LinkedIn (DM),No,No,No,No,Low,,
"April 22, 2021",AlphaSights,LinkedIn (DM),No,Yes,No,No,Low,,
"April 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,None,"i have a react js developer and location CA, client looking for 10+years",
"April 21, 2021",<Open to opportunities?>,LinkedIn (Req),No,Yes,No,No,None,,
"April 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,None,,
"April 19, 2021",<Our client>,LinkedIn (DM),No,Yes,No,Yes,None,,
"April 15, 2021",<Our client>,Email,No,Yes,No,No,Low,,
"April 14, 2021",Metaview,LinkedIn (DM),No,Yes,No,No,High,,
"April 19, 2021",<Our client>,Text,No,Yes,No,No,Low,,
